country,argument_from_sign,argument_from_analogy,argument_from_authority,argument_ad_hominem,argument_from_practical_reasoning,none_or_unclear,argument_from_cause_to_effect
GRC,1,3,1,0,0,0,1
SRB,2,2,3,1,6,2,2
BIH,10,2,4,2,2,9,1
AUT,5,5,2,5,2,7,4
FIN,2,0,1,0,3,0,0
SVN,3,5,2,1,0,0,1
ESP,1,3,0,4,4,0,0
GBR,4,1,0,0,4,5,3
ITA,2,2,1,3,3,1,0
ISL,1,1,2,1,1,0,0
TUR,3,2,2,1,2,0,2
SWE,7,2,0,2,0,0,1
LVA,1,2,1,1,3,2,2
POL,1,2,0,1,1,4,0
NOR,1,1,0,0,2,1,1
UKR,1,0,1,1,1,4,2
EST,2,0,0,2,2,0,0
CZE,1,1,2,1,4,0,3
HUN,1,1,0,3,1,0,0
PRT,3,1,1,5,2,0,0
HRV,3,2,0,3,1,3,0
FRA,1,2,2,1,4,1,1
NLD,2,2,1,2,2,1,2
BGR,1,0,0,1,3,0,1
BEL,1,0,4,1,2,4,0
