country,argument_from_sign,argument_ad_hominem,argument_from_analogy,argument_from_authority,argument_from_cause_to_effect,no_clear_scheme,argument_from_practical_reasoning,argument_from_definition
BIH,6,2,0,1,1,2,0,0
ITA,1,4,0,4,1,1,1,0
SVN,0,0,6,5,3,2,2,0
ESP,2,4,1,2,2,1,0,0
POL,6,3,1,3,2,12,3,0
ISL,5,3,2,5,2,1,0,0
TUR,3,4,4,5,3,3,2,0
LVA,1,0,1,2,0,2,0,0
HRV,1,2,4,4,2,3,2,0
BGR,1,0,0,2,1,2,0,0
AUT,2,2,0,1,4,3,0,0
BEL,3,2,2,7,1,5,4,0
PRT,3,5,4,6,3,1,2,0
SRB,2,4,0,7,2,5,4,0
NLD,4,6,4,4,2,3,1,0
NOR,1,0,1,1,2,1,0,0
UKR,1,2,0,4,4,3,1,1
FIN,1,0,0,1,0,0,4,0
SWE,3,2,1,0,0,0,0,0
HUN,0,0,0,1,1,0,0,0
